Spot	Secondary forest	X	Y
QUm0009x	0	190722.237	9730283.945
QUm0010x	0	190743.326	9730779.1
QUm0011x	0	193209.276	9729330.726
QUm0012x	0	193303.541	9730389.785
QUm0013x	0	193342.133	9730896.539
QUm0014x	0	193700.811	9730319.09
QUm0015x	0	193843.369	9730820.15
QUm0016x	0	194067.728	9729799.793
QUm0017x	0	194075.032	9730203.607
QUm0018x	0	192577.101	9728984.03
QUm0019x	0	194448.274	9729468.864
QUm0020x	0	191511.738	9730204.958
QUm0021x	0	192185.7397	9729441.394
QUm0022x	0	192522.9634	9729810.983
QUm0023x	0	192126.2296	9729959.236
QUm0B04x	0	192780.0	9728947.905
QUm0B06x	0	192810.086	9729133.729
QUm0B08x	0	192827.027	9729347.78
QUm0B09x	0	192833.582	9729478.946
QUm0B10x	0	192833.909	9729545.836
QUm0B12x	0	192847.832	9729746.317
QUm0B13x	0	192860.179	9729896.226
QUm0B14x	0	192863.05	9729953.274
QUm0B16x	0	192878.416	9730136.526
QUm0B18x	0	192904.676	9730344.925
QUm0B20x	0	192936.153	9730542.273
QUm0B22x	0	192943.911	9730743.209
QUm0B24x	0	192965.269	9730934.803
QUm0D24x	0	192754.815	9730945.015
QUm0E24x	0	192660.813	9730953.37
QUm0H04N	0	191424.759	9729132.361
QUm0H04S	0	191417.733	9729031.422
QUm0H04x	0	192174.989	9728996.299
QUm0H06x	0	192206.347	9729193.419
QUm0H08x	0	192242.96	9729399.983
QUm0H10x	0	192249.227	9729589.469
QUm0H12N	0	192274.428	9729850.653
QUm0H12S	0	192262.849	9729744.394
QUm0H12x	0	192268.809	9729800.082
QUm0H14x	0	192285.446	9730002.577
QUm0H16x	0	192296.126	9730181.457
QUm0H17x	0	192302.034	9730303.784
QUm0H18x	0	192318.588	9730394.51
QUm0H20N	0	192329.153	9730626.948
QUm0H20S	0	192321.23	9730528.664
QUm0H20x	0	192307.438	9730574.293
QUm0H22x	0	192353.719	9730779.913
QUm0H24x	0	192355.454	9730989.361
QUm0M04x	0	191817.206	9729020.295
QUm0M06x	0	191824.008	9729214.652
QUm0M08x	0	191845.388	9729426.502
QUm0M10x	0	191860.99	9729617.128
QUm0M12x	0	191872.598	9729827.85
QUm0M14x	0	191886.203	9730015.405
QUm0M16x	0	191902.723	9730223.367
QUm0M18x	0	191919.092	9730417.239
QUm0M19x	0	191928.358	9730523.499
QUm0M20x	0	191939.317	9730612.386
QUm0M22x	0	191954.076	9730814.092
QUm0M24x	0	191969.928	9731019.625
QUm0O24x	0	191775.361	9731037.417
QUm0Q04N	0	191424.759	9729132.361
QUm0Q04S	0	191417.733	9729031.422
QUm0Q04x	0	191436.785	9729045.892
QUm0Q06x	0	191434.451	9729258.017
QUm0Q08x	0	191437.137	9729440.75
